iso,id,year,GG debt (% of GDP),GG debt ($ million),,
KHM,KHM2024,2024,26.541,"12,513.3",,
KHM,KHM2025,2025,26.866,"13,744.4",,
CMR,CMR2000,2000,75.881,"7,774.0",,
CMR,CMR2001,2001,62.182,"6,808.9",,
CMR,CMR2002,2002,56.6,"7,000.9",,
CMR,CMR2003,2003,51.521,"8,214.5",,
CMR,CMR2004,2004,51.728,"9,726.4",,
CMR,CMR2005,2005,43.843,"8,564.3",,
CMR,CMR2006,2006,18.354,"3,838.2",,
CMR,CMR2007,2007,13.804,"3,303.4",,
CMR,CMR2008,2008,11.153,"3,090.7",,
CMR,CMR2009,2009,11.256,"3,140.8",,
CMR,CMR2010,2010,13.989,"3,851.2",,
CMR,CMR2011,2011,15.047,"4,608.3",,
CMR,CMR2012,2012,14.874,"4,488.1",,
CMR,CMR2013,2013,17.472,"5,893.1",,
CMR,CMR2014,2014,20.707,"7,536.5",,
CMR,CMR2015,2015,31.62,"10,185.8",,
CMR,CMR2016,2016,32.108,"10,854.1",,
CMR,CMR2017,2017,36.539,"13,185.5",,
CMR,CMR2018,2018,38.335,"15,330.9",,
CMR,CMR2019,2019,41.597,"16,502.8",,
CMR,CMR2020,2020,44.858,"18,330.3",,
CMR,CMR2021,2021,47.154,"21,236.3",,
CMR,CMR2022,2022,45.578,"20,255.8",,
CMR,CMR2023,2023,43.152,"21,268.3",,
CMR,CMR2024,2024,40.34,"21,537.9",,
CMR,CMR2025,2025,38.265,"22,096.5",,
CAF,CAF2000,2000,94.679,821.8,,
CAF,CAF2001,2001,103.115,927.0,,
CAF,CAF2002,2002,98.518,968.4,,
CAF,CAF2003,2003,95.886,"1,139.1",,
CAF,CAF2004,2004,99.724,"1,306.4",,
CAF,CAF2005,2005,102.962,"1,454.9",,
CAF,CAF2006,2006,46.75,719.0,,
CAF,CAF2007,2007,47.851,839.8,,
CAF,CAF2008,2008,35.766,727.1,,
CAF,CAF2009,2009,20.3,418.0,,
CAF,CAF2010,2010,19.883,425.7,,
CAF,CAF2011,2011,19.686,479.4,,
CAF,CAF2012,2012,31.533,792.1,,
CAF,CAF2013,2013,51.79,876.3,,
CAF,CAF2014,2014,62.24,"1,180.1",,
CAF,CAF2015,2015,59.79,"1,014.0",,
CAF,CAF2016,2016,53.887,983.4,,
CAF,CAF2017,2017,50.275,"1,041.7",,
CAF,CAF2018,2018,50.032,"1,140.7",,
CAF,CAF2019,2019,48.154,"1,096.9",,
CAF,CAF2020,2020,44.398,"1,060.7",,
CAF,CAF2021,2021,48.525,"1,254.4",,
CAF,CAF2022,2022,51.036,"1,255.5",,
CAF,CAF2023,2023,57.558,"1,514.4",,
CAF,CAF2024,2024,57.379,"1,619.8",,
CAF,CAF2025,2025,55.433,"1,677.4",,
TCD,TCD2000,2000,49.894,"1,068.7",,
TCD,TCD2001,2001,41.428,"1,092.9",,
TCD,TCD2002,2002,39.948,"1,228.8",,
TCD,TCD2003,2003,32.773,"1,385.3",,
TCD,TCD2004,2004,23.951,"1,632.5",,
TCD,TCD2005,2005,20.904,"1,901.6",,
TCD,TCD2006,2006,19.022,"1,949.6",,
TCD,TCD2007,2007,15.987,"1,917.3",,
TCD,TCD2008,2008,14.605,"2,096.4",,
TCD,TCD2009,2009,22.593,"2,936.6",,
TCD,TCD2010,2010,22.506,"3,215.9",,
TCD,TCD2011,2011,22.935,"3,724.0",,
TCD,TCD2012,2012,22.073,"3,570.1",,
TCD,TCD2013,2013,23.524,"3,980.3",,
TCD,TCD2014,2014,29.4,"5,354.6",,
TCD,TCD2015,2015,32.103,"4,657.5",,
TCD,TCD2016,2016,38.101,"5,105.5",,
TCD,TCD2017,2017,36.766,"4,906.1",,
TCD,TCD2018,2018,33.258,"5,099.8",,
TCD,TCD2019,2019,38.008,"5,669.7",,
TCD,TCD2020,2020,41.155,"6,014.8",,
TCD,TCD2021,2021,42.449,"6,763.4",,
TCD,TCD2022,2022,34.54,"5,616.5",,
TCD,TCD2023,2023,32.741,"5,764.1",,
TCD,TCD2024,2024,31.529,"5,886.5",,
TCD,TCD2025,2025,32.425,"6,370.5",,
CHN,CHN2000,2000,22.987,"277,115.6",,
CHN,CHN2001,2001,24.575,"327,744.2",,
CHN,CHN2002,2002,25.916,"379,884.2",,
CHN,CHN2003,2003,26.8,"444,065.8",,
CHN,CHN2004,2004,26.393,"514,517.3",,
CHN,CHN2005,2005,26.312,"602,549.8",,
CHN,CHN2006,2006,25.568,"704,180.8",,
CHN,CHN2007,2007,29.164,"1,036,971.2",,
CHN,CHN2008,2008,27.159,"1,243,143.5",,
CHN,CHN2009,2009,34.567,"1,759,111.9",,
CHN,CHN2010,2010,33.924,"2,046,916.5",,
CHN,CHN2011,2011,33.772,"2,530,269.8",,
CHN,CHN2012,2012,34.393,"2,937,019.1",,
CHN,CHN2013,2013,37.035,"3,564,592.1",,
CHN,CHN2014,2014,39.969,"4,206,433.9",,
CHN,CHN2015,2015,41.489,"4,610,883.3",,
CHN,CHN2016,2016,50.701,"5,692,149.0",,
CHN,CHN2017,2017,54.951,"6,739,919.8",,
CHN,CHN2018,2018,56.659,"7,842,632.3",,
CHN,CHN2019,2019,60.404,"8,662,296.0",,
CHN,CHN2020,2020,70.155,"10,426,831.8",,
CHN,CHN2021,2021,71.852,"12,760,417.3",,
CHN,CHN2022,2022,77.393,"13,813,520.6",,
CHN,CHN2023,2023,84.381,"14,984,416.8",,
CHN,CHN2024,2024,90.119,"16,467,766.6",,
CHN,CHN2025,2025,93.845,"18,332,521.3",,
COL,COL2000,2000,37.988,"37,710.7",,
COL,COL2001,2001,41.095,"40,111.2",,
COL,COL2002,2002,47.545,"46,286.5",,
COL,COL2003,2003,45.04,"42,370.0",,
COL,COL2004,2004,41.482,"48,277.6",,
COL,COL2005,2005,38.532,"56,103.0",,
COL,COL2006,2006,35.969,"58,195.3",,
COL,COL2007,2007,32.663,"67,360.6",,
COL,COL2008,2008,32.382,"78,527.6",,
COL,COL2009,2009,35.387,"82,263.8",,
COL,COL2010,2010,36.497,"104,563.2",,
COL,COL2011,2011,35.783,"119,860.9",,
COL,COL2012,2012,33.967,"125,912.6",,
COL,COL2013,2013,37.592,"143,636.4",,
COL,COL2014,2014,43.319,"165,149.4",,
COL,COL2015,2015,50.419,"147,976.2",,
COL,COL2016,2016,49.796,"140,783.3",,
COL,COL2017,2017,49.436,"154,185.4",,
COL,COL2018,2018,53.584,"179,037.0",,
COL,COL2019,2019,52.401,"169,284.1",,
COL,COL2020,2020,65.674,"177,548.3",,
COL,COL2021,2021,64.039,"203,980.2",,
COL,COL2022,2022,60.055,"207,387.9",,
COL,COL2023,2023,54.317,"197,480.3",,
COL,COL2024,2024,55.792,"232,768.1",,
COL,COL2025,2025,56.06,"235,077.0",,
COM,COM2000,2000,60.773,206.6,,
COM,COM2001,2001,53.019,197.8,,
COM,COM2002,2002,48.222,205.9,,
COM,COM2003,2003,44.498,243.4,,
COM,COM2004,2004,42.446,264.0,,
COM,COM2005,2005,39.865,261.5,,
COM,COM2006,2006,38.479,265.1,,
COM,COM2007,2007,35.616,283.5,,
COM,COM2008,2008,33.217,304.3,,
COM,COM2009,2009,31.73,286.8,,
COM,COM2010,2010,30.459,276.9,,
COM,COM2011,2011,27.668,283.0,,
COM,COM2012,2012,25.073,254.7,,
COM,COM2013,2013,10.277,114.7,,
COM,COM2014,2014,11.823,136.0,,
COM,COM2015,2015,14.274,137.9,,
COM,COM2016,2016,16.162,163.7,,
COM,COM2017,2017,18.934,203.9,,
COM,COM2018,2018,17.022,200.7,,
COM,COM2019,2019,21.229,252.2,,
COM,COM2020,2020,24.315,296.2,,
COM,COM2021,2021,26.276,334.5,,
COM,COM2022,2022,28.073,343.9,,
COM,COM2023,2023,33.232,445.3,,
COM,COM2024,2024,34.862,505.5,,
COM,COM2025,2025,35.815,549.8,,
COD,COD2000,2000,134.982,"25,750.5",,
COD,COD2001,2001,181.617,"13,160.0",,
COD,COD2002,2002,136.042,"11,862.9",,
COD,COD2003,2003,114.464,"10,326.9",,
COD,COD2004,2004,141.759,"14,565.7",,
COD,COD2005,2005,96.28,"12,246.8",,
COD,COD2006,2006,96.303,"14,833.6",,
COD,COD2007,2007,76.634,"14,252.4",,
COD,COD2008,2008,75.761,"17,171.2",,
COD,COD2009,2009,90.617,"16,878.3",,
COD,COD2010,2010,29.479,"6,585.6",,
COD,COD2011,2011,24.44,"6,453.6",,
COD,COD2012,2012,21.26,"6,393.7",,
COD,COD2013,2013,17.907,"6,251.0",,
COD,COD2014,2014,15.732,"6,034.0",,
COD,COD2015,2015,16.047,"6,443.5",,
COD,COD2016,2016,18.792,"7,157.1",,
COD,COD2017,2017,18.47,"7,288.4",,
COD,COD2018,2018,14.778,"7,098.9",,
COD,COD2019,2019,14.847,"7,555.8",,
COD,COD2020,2020,16.245,"8,059.6",,
COD,COD2021,2021,15.864,"9,136.4",,
COD,COD2022,2022,14.349,"9,437.1",,
COD,COD2023,2023,14.367,"9,614.8",,
COD,COD2024,2024,11.545,"8,368.2",,
COD,COD2025,2025,5.951,"4,715.4",,
COG,COG2000,2000,145.02,"5,255.5",,
COG,COG2001,2001,180.082,"5,470.9",,
COG,COG2002,2002,163.513,"5,445.0",,
COG,COG2003,2003,185.31,"7,158.5",,
COG,COG2004,2004,122.591,"6,253.4",,
COG,COG2005,2005,99.752,"6,637.5",,
COG,COG2006,2006,94.725,"7,647.1",,
COG,COG2007,2007,93.757,"8,235.6",,
COG,COG2008,2008,69.598,"8,107.5",,
COG,COG2009,2009,83.836,"8,143.0",,
COG,COG2010,2010,43.487,"5,722.5",,
COG,COG2011,2011,34.39,"5,383.1",,
COG,COG2012,2012,30.198,"5,346.3",,
COG,COG2013,2013,33.937,"6,094.7",,
COG,COG2014,2014,42.323,"7,583.4",,
COG,COG2015,2015,74.184,"8,821.2",,
COG,COG2016,2016,84.635,"9,248.9",,
COG,COG2017,2017,88.479,"10,467.1",,
COG,COG2018,2018,71.223,"10,527.5",,
COG,COG2019,2019,77.605,"10,846.9",,
COG,COG2020,2020,102.514,"11,773.7",,
COG,COG2021,2021,97.764,"13,087.7",,
COG,COG2022,2022,92.483,"12,917.1",,
COG,COG2023,2023,99.01,"14,028.7",,
COG,COG2024,2024,93.332,"14,040.9",,
COG,COG2025,2025,89.044,"14,175.8",,
CRI,CRI2000,2000,38.85,"5,833.7",,
CRI,CRI2001,2001,39.644,"6,334.7",,
CRI,CRI2002,2002,41.438,"6,872.1",,
CRI,CRI2003,2003,40.566,"7,008.6",,
CRI,CRI2004,2004,41.002,"7,632.5",,
CRI,CRI2005,2005,37.321,"7,482.5",,
CRI,CRI2006,2006,33.037,"7,505.0",,
CRI,CRI2007,2007,26.975,"7,252.2",,
CRI,CRI2008,2008,24.007,"7,394.6",,
CRI,CRI2009,2009,26.026,"8,002.0",,
CRI,CRI2010,2010,28.09,"10,577.6",,
CRI,CRI2011,2011,29.513,"12,620.3",,
CRI,CRI2012,2012,33.741,"15,936.2",,
CRI,CRI2013,2013,35.076,"17,870.9",,
CRI,CRI2014,2014,37.436,"19,473.1",,
CRI,CRI2015,2015,39.786,"22,456.0",,
CRI,CRI2016,2016,44.056,"25,925.6",,
CRI,CRI2017,2017,47.064,"28,481.7",,
CRI,CRI2018,2018,51.839,"32,358.9",,
CRI,CRI2019,2019,56.431,"36,348.3",,
CRI,CRI2020,2020,66.912,"41,741.0",,
CRI,CRI2021,2021,67.628,"43,927.1",,
CRI,CRI2022,2022,62.985,"43,607.7",,
CRI,CRI2023,2023,61.119,"52,873.4",,
CRI,CRI2024,2024,61.245,"58,274.0",,
CRI,CRI2025,2025,60.863,"61,270.8",,
CIV,CIV2000,2000,73.987,"10,987.8",,
CIV,CIV2001,2001,71.172,"11,021.0",,
CIV,CIV2002,2002,62.982,"10,800.2",,
CIV,CIV2003,2003,56.381,"11,956.2",,
CIV,CIV2004,2004,56.718,"13,002.0",,
CIV,CIV2005,2005,58.164,"13,741.8",,
CIV,CIV2006,2006,57.471,"14,154.0",,
CIV,CIV2007,2007,53.533,"15,073.8",,
CIV,CIV2008,2008,51.24,"17,227.4",,
CIV,CIV2009,2009,46.476,"15,659.2",,
CIV,CIV2010,2010,45.612,"15,704.7",,
CIV,CIV2011,2011,50.028,"17,774.4",,
CIV,CIV2012,2012,24.693,"9,143.8",,
CIV,CIV2013,2013,24.624,"10,644.5",,
CIV,CIV2014,2014,26.71,"13,056.4",,
CIV,CIV2015,2015,29.172,"13,365.2",,
CIV,CIV2016,2016,31.118,"15,063.6",,
CIV,CIV2017,2017,32.595,"17,116.3",,
CIV,CIV2018,2018,35.317,"20,668.2",,
CIV,CIV2019,2019,37.216,"22,472.1",,
CIV,CIV2020,2020,46.315,"29,233.6",,
CIV,CIV2021,2021,50.165,"36,536.7",,
CIV,CIV2022,2022,56.634,"39,827.3",,
CIV,CIV2023,2023,58.07,"45,809.7",,
CIV,CIV2024,2024,59.276,"51,566.0",,
CIV,CIV2025,2025,55.902,"53,365.2",,
DJI,DJI2000,2000,,,,
DJI,DJI2001,2001,,,,
DJI,DJI2002,2002,,,,
DJI,DJI2003,2003,,,,
DJI,DJI2004,2004,,,,
DJI,DJI2005,2005,,,,
DJI,DJI2006,2006,,,,
DJI,DJI2007,2007,,,,
DJI,DJI2008,2008,,,,
DJI,DJI2009,2009,29.532,421.1,,
DJI,DJI2010,2010,27.884,430.5,,
DJI,DJI2011,2011,25.682,446.9,,
DJI,DJI2012,2012,25.05,476.2,,
DJI,DJI2013,2013,24.573,502.3,,
DJI,DJI2014,2014,26.856,596.5,,
DJI,DJI2015,2015,40.26,975.9,,
DJI,DJI2016,2016,45.923,"1,196.3",,
DJI,DJI2017,2017,47.99,"1,326.0",,
DJI,DJI2018,2018,47.462,"1,382.6",,
DJI,DJI2019,2019,41.125,"1,270.4",,
DJI,DJI2020,2020,41.516,"1,322.3",,
DJI,DJI2021,2021,40.361,"1,366.6",,
DJI,DJI2022,2022,36.622,"1,364.5",,
DJI,DJI2023,2023,34.61,"1,388.2",,
DJI,DJI2024,2024,32.668,"1,415.8",,
DJI,DJI2025,2025,30.719,"1,433.0",,
DMA,DMA2000,2000,68.858,229.3,,
DMA,DMA2001,2001,98.505,334.9,,
DMA,DMA2002,2002,97.875,325.9,,
DMA,DMA2003,2003,94.918,325.6,,
DMA,DMA2004,2004,86.163,316.2,,
DMA,DMA2005,2005,82.009,298.5,,
DMA,DMA2006,2006,77.362,301.7,,
DMA,DMA2007,2007,71.765,302.1,,
DMA,DMA2008,2008,64.358,294.8,,
DMA,DMA2009,2009,62.507,305.7,,
DMA,DMA2010,2010,66.829,330.1,,
DMA,DMA2011,2011,69.681,349.1,,
DMA,DMA2012,2012,73.107,355.3,,
DMA,DMA2013,2013,73.927,368.2,,
DMA,DMA2014,2014,72.127,375.1,,
DMA,DMA2015,2015,68.873,372.6,,
DMA,DMA2016,2016,76.538,440.9,,
DMA,DMA2017,2017,84.011,438.5,,
DMA,DMA2018,2018,85.631,475.3,,
DMA,DMA2019,2019,97.678,597.8,,
DMA,DMA2020,2020,112.458,566.8,,
DMA,DMA2021,2021,108.501,602.2,,
DMA,DMA2022,2022,103.616,628.9,,
DMA,DMA2023,2023,96.491,631.1,,
DMA,DMA2024,2024,97.071,682.4,,
DMA,DMA2025,2025,93.73,701.1,,
DOM,DOM2000,2000,16.707,"4,060.8",,
DOM,DOM2001,2001,20.351,"5,210.3",,
DOM,DOM2002,2002,21.487,"5,855.0",,
DOM,DOM2003,2003,48.15,"10,360.9",,
DOM,DOM2004,2004,34.346,"7,729.9",,
DOM,DOM2005,2005,38.322,"13,776.0",,
DOM,DOM2006,2006,36.022,"13,687.6",,
DOM,DOM2007,2007,32.907,"14,501.1",,
DOM,DOM2008,2008,33.607,"16,200.6",,
DOM,DOM2009,2009,36.734,"17,749.5",,
DOM,DOM2010,2010,37.311,"20,118.5",,
DOM,DOM2011,2011,39.053,"22,685.1",,
DOM,DOM2012,2012,42.32,"25,708.1",,
DOM,DOM2013,2013,46.715,"29,317.4",,
DOM,DOM2014,2014,44.911,"30,208.9",,
DOM,DOM2015,2015,44.687,"31,841.3",,
DOM,DOM2016,2016,46.591,"35,305.3",,
DOM,DOM2017,2017,48.906,"39,164.9",,
DOM,DOM2018,2018,50.465,"43,213.2",,
DOM,DOM2019,2019,53.579,"47,702.5",,
DOM,DOM2020,2020,71.54,"56,461.5",,
DOM,DOM2021,2021,63.226,"59,722.0",,
DOM,DOM2022,2022,59.547,"67,808.0",,
DOM,DOM2023,2023,60.019,"73,094.1",,
DOM,DOM2024,2024,59.151,"74,671.0",,
DOM,DOM2025,2025,58.107,"78,761.1",,
ECU,ECU2000,2000,,,,
ECU,ECU2001,2001,63.803,"14,755.7",,
ECU,ECU2002,2002,55.043,"14,891.3",,
ECU,ECU2003,2003,47.198,"14,614.9",,
ECU,ECU2004,2004,40.2,"14,148.4",,
ECU,ECU2005,2005,35.758,"14,403.0",,
ECU,ECU2006,2006,33.094,"15,121.0",,
ECU,ECU2007,2007,29.648,"14,779.2",,
ECU,ECU2008,2008,24.873,"15,207.1",,
ECU,ECU2009,2009,19.667,"11,818.9",,
ECU,ECU2010,2010,18.436,"12,564.3",,
ECU,ECU2011,2011,18.607,"14,697.1",,
ECU,ECU2012,2012,19.341,"16,968.8",,
ECU,ECU2013,2013,23.426,"22,622.5",,
ECU,ECU2014,2014,28.163,"28,928.5",,
ECU,ECU2015,2015,36.438,"35,421.4",,
ECU,ECU2016,2016,46.066,"44,993.1",,
ECU,ECU2017,2017,47.391,"49,508.0",,
ECU,ECU2018,2018,49.505,"53,207.5",,
ECU,ECU2019,2019,52.064,"56,018.8",,
ECU,ECU2020,2020,63.551,"60,923.2",,
ECU,ECU2021,2021,61.609,"66,189.6",,
ECU,ECU2022,2022,56.98,"66,430.7",,
ECU,ECU2023,2023,55.348,"65,778.3",,
ECU,ECU2024,2024,56.48,"68,580.8",,
ECU,ECU2025,2025,56.508,"71,006.8",,
EGY,EGY2000,2000,71.687,"75,093.6",,
EGY,EGY2001,2001,79.146,"80,945.0",,
EGY,EGY2002,2002,85.776,"77,422.3",,
EGY,EGY2003,2003,97.095,"82,689.0",,
EGY,EGY2004,2004,96.512,"79,965.0",,
EGY,EGY2005,2005,98.263,"92,492.0",,
EGY,EGY2006,2006,85.924,"97,009.9",,
EGY,EGY2007,2007,76.268,"104,529.1",,
EGY,EGY2008,2008,66.761,"114,025.8",,
EGY,EGY2009,2009,69.45,"137,730.5",,
EGY,EGY2010,2010,69.59,"160,073.7",,
EGY,EGY2011,2011,72.83,"180,418.8",,
EGY,EGY2012,2012,69.862,"205,731.0",,
EGY,EGY2013,2013,79.812,"241,985.2",,
EGY,EGY2014,2014,80.874,"260,118.3",,
EGY,EGY2015,2015,83.754,"293,238.7",,
EGY,EGY2016,2016,91.586,"321,872.6",,
EGY,EGY2017,2017,97.8,"241,395.8",,
EGY,EGY2018,2018,87.949,"231,443.1",,
EGY,EGY2019,2019,80.092,"254,607.7",,
EGY,EGY2020,2020,86.222,"329,820.7",,
EGY,EGY2021,2021,89.903,"380,559.4",,
EGY,EGY2022,2022,88.534,"420,741.0",,
EGY,EGY2023,2023,95.93,"377,799.2",,
EGY,EGY2024,2024,90.857,"345,296.6",,
EGY,EGY2025,2025,84.542,"292,408.8",,
SLV,SLV2000,2000,29.551,"3,482.6",,
SLV,SLV2001,2001,37.842,"4,648.1",,
SLV,SLV2002,2002,43.8,"5,546.8",,
SLV,SLV2003,2003,45.962,"6,087.2",,
SLV,SLV2004,2004,46.813,"6,425.1",,
SLV,SLV2005,2005,46.286,"6,803.1",,
SLV,SLV2006,2006,52.559,"8,409.4",,
SLV,SLV2007,2007,52.197,"8,879.8",,
SLV,SLV2008,2008,54.212,"9,751.1",,
SLV,SLV2009,2009,65.778,"11,578.2",,
SLV,SLV2010,2010,66.794,"12,322.2",,
SLV,SLV2011,2011,65.598,"13,305.9",,
SLV,SLV2012,2012,69.994,"14,968.9",,
SLV,SLV2013,2013,69.655,"15,317.8",,
SLV,SLV2014,2014,71.791,"16,219.7",,
SLV,SLV2015,2015,73.464,"17,218.5",,
SLV,SLV2016,2016,75.214,"18,195.0",,
SLV,SLV2017,2017,77.136,"19,267.8",,
SLV,SLV2018,2018,76.961,"20,026.0",,
SLV,SLV2019,2019,77.906,"20,941.9",,
SLV,SLV2020,2020,95.365,"23,765.9",,
SLV,SLV2021,2021,87.955,"25,544.8",,
SLV,SLV2022,2022,83.346,"26,661.6",,
SLV,SLV2023,2023,84.681,"28,805.1",,
SLV,SLV2024,2024,84.835,"30,411.7",,
SLV,SLV2025,2025,84.595,"32,013.3",,
GNQ,GNQ2000,2000,36.627,424.5,,
GNQ,GNQ2001,2001,25.477,426.5,,
GNQ,GNQ2002,2002,19.447,402.6,,
GNQ,GNQ2003,2003,6.775,252.9,,
GNQ,GNQ2004,2004,4.538,269.3,,
GNQ,GNQ2005,2005,2.849,233.4,,
GNQ,GNQ2006,2006,1.22,123.2,,
GNQ,GNQ2007,2007,0.754,98.7,,
GNQ,GNQ2008,2008,0.488,96.8,,
GNQ,GNQ2009,2009,4.337,653.7,,
GNQ,GNQ2010,2010,7.894,"1,288.9",,
GNQ,GNQ2011,2011,7.17,"1,531.1",,
GNQ,GNQ2012,2012,7.097,"1,589.9",,
GNQ,GNQ2013,2013,6.272,"1,376.6",,
GNQ,GNQ2014,2014,12.56,"2,734.4",,
GNQ,GNQ2015,2015,31.657,"4,174.6",,
GNQ,GNQ2016,2016,41.139,"4,623.2",,
GNQ,GNQ2017,2017,36.235,"4,419.6",,
GNQ,GNQ2018,2018,40.569,"5,399.3",,
GNQ,GNQ2019,2019,43.189,"4,908.4",,
GNQ,GNQ2020,2020,49.386,"4,893.2",,
GNQ,GNQ2021,2021,42.293,"5,169.1",,
GNQ,GNQ2022,2022,30.202,"4,082.1",,
GNQ,GNQ2023,2023,37.369,"4,474.9",,
GNQ,GNQ2024,2024,35.083,"4,520.1",,
GNQ,GNQ2025,2025,35.597,"4,598.4",,
ERI,ERI2000,2000,219.102,"1,198.5",,
ERI,ERI2001,2001,238.566,"1,388.5",,
ERI,ERI2002,2002,243.438,"1,373.0",,
ERI,ERI2003,2003,263.987,"1,776.6",,
ERI,ERI2004,2004,193.512,"1,660.3",,
ERI,ERI2005,2005,205.371,"1,745.7",,
ERI,ERI2006,2006,199.046,"1,865.1",,
ERI,ERI2007,2007,201.28,"2,053.1",,
ERI,ERI2008,2008,259.667,"2,396.7",,
ERI,ERI2009,2009,207.054,"2,685.5",,
ERI,ERI2010,2010,201.787,"3,208.4",,
ERI,ERI2011,2011,171.569,"3,542.9",,
ERI,ERI2012,2012,171.577,"3,869.1",,
ERI,ERI2013,2013,232.428,"4,550.9",,
ERI,ERI2014,2014,204.483,"5,324.7",,
ERI,ERI2015,2015,271.409,"5,471.6",,
ERI,ERI2016,2016,251.228,"5,559.7",,
ERI,ERI2017,2017,290.386,"5,528.9",,
ERI,ERI2018,2018,267.092,"5,357.9",,
ERI,ERI2019,2019,260.393,"5,161.0",,
ERI,ERI2020,2020,,,,
ERI,ERI2021,2021,,,,
ERI,ERI2022,2022,,,,
ERI,ERI2023,2023,,,,
ERI,ERI2024,2024,,,,
ERI,ERI2025,2025,,,,
SWZ,SWZ2000,2000,17.712,308.0,,
SWZ,SWZ2001,2001,21.037,324.8,,
SWZ,SWZ2002,2002,16.714,240.0,,
SWZ,SWZ2003,2003,17.154,377.0,,
SWZ,SWZ2004,2004,14.557,403.8,,
SWZ,SWZ2005,2005,13.162,418.2,,
SWZ,SWZ2006,2006,14.245,469.1,,
SWZ,SWZ2007,2007,15.675,543.1,,
SWZ,SWZ2008,2008,14.188,467.9,,
SWZ,SWZ2009,2009,10.303,370.5,,
SWZ,SWZ2010,2010,13.829,613.7,,
SWZ,SWZ2011,2011,14.168,683.7,,
SWZ,SWZ2012,2012,14.382,702.8,,
SWZ,SWZ2013,2013,14.707,676.5,,
SWZ,SWZ2014,2014,13.594,601.7,,
SWZ,SWZ2015,2015,15.436,626.9,,
SWZ,SWZ2016,2016,19.816,756.0,,
SWZ,SWZ2017,2017,21.894,964.9,,
SWZ,SWZ2018,2018,26.55,"1,239.1",,
SWZ,SWZ2019,2019,31.408,"1,411.8",,
SWZ,SWZ2020,2020,38.653,"1,539.9",,
SWZ,SWZ2021,2021,37.008,"1,795.3",,
SWZ,SWZ2022,2022,40.703,"1,950.1",,
SWZ,SWZ2023,2023,38.506,"1,869.9",,
SWZ,SWZ2024,2024,40.12,"2,064.2",,
SWZ,SWZ2025,2025,41.563,"2,253.5",,
ETH,ETH2000,2000,93.633,"7,647.0",,
ETH,ETH2001,2001,97.325,"7,886.2",,
ETH,ETH2002,2002,107.363,"8,404.4",,
ETH,ETH2003,2003,103.691,"8,921.6",,
ETH,ETH2004,2004,103.104,"10,436.2",,
ETH,ETH2005,2005,78.239,"9,691.5",,
ETH,ETH2006,2006,78.062,"11,951.3",,
ETH,ETH2007,2007,43.042,"8,319.6",,
ETH,ETH2008,2008,41.798,"10,972.0",,
ETH,ETH2009,2009,29.96,"8,590.1",,
ETH,ETH2010,2010,39.436,"10,603.2",,
ETH,ETH2011,2011,44.565,"13,583.4",,
ETH,ETH2012,2012,39.358,"16,617.3",,
ETH,ETH2013,2013,44.104,"20,527.8",,
ETH,ETH2014,2014,44.152,"23,914.9",,
ETH,ETH2015,2015,50.743,"32,009.2",,
ETH,ETH2016,2016,51.803,"37,360.3",,
ETH,ETH2017,2017,55.278,"42,476.2",,
ETH,ETH2018,2018,58.449,"46,880.2",,
ETH,ETH2019,2019,54.699,"50,655.6",,
ETH,ETH2020,2020,53.697,"51,877.2",,
ETH,ETH2021,2021,53.767,"53,374.0",,
ETH,ETH2022,2022,46.923,"55,823.4",,
ETH,ETH2023,2023,38.741,"61,887.6",,
ETH,ETH2024,2024,33.556,"48,666.6",,
ETH,ETH2025,2025,41.788,"50,527.1",,
FJI,FJI2000,2000,35.921,655.2,,
FJI,FJI2001,2001,41.934,754.0,,
FJI,FJI2002,2002,44.538,889.0,,
FJI,FJI2003,2003,46.444,"1,165.3",,
FJI,FJI2004,2004,45.894,"1,355.7",,
FJI,FJI2005,2005,45.318,"1,476.0",,
FJI,FJI2006,2006,50.325,"1,691.4",,
FJI,FJI2007,2007,46.437,"1,712.6",,
FJI,FJI2008,2008,47.932,"1,829.1",,
FJI,FJI2009,2009,51.501,"1,599.6",,
FJI,FJI2010,2010,53.355,"1,815.1",,
FJI,FJI2011,2011,50.977,"2,087.0",,
FJI,FJI2012,2012,48.625,"2,092.3",,
FJI,FJI2013,2013,47.399,"2,151.4",,
FJI,FJI2014,2014,46.207,"2,244.3",,
FJI,FJI2015,2015,44.275,"2,073.0",,
FJI,FJI2016,2016,44.556,"2,196.6",,
FJI,FJI2017,2017,43.427,"2,324.6",,
FJI,FJI2018,2018,45.768,"2,554.3",,
FJI,FJI2019,2019,48.954,"2,665.1",,
FJI,FJI2020,2020,63.625,"2,819.9",,
FJI,FJI2021,2021,83.252,"3,584.0",,
FJI,FJI2022,2022,91.167,"4,531.0",,
FJI,FJI2023,2023,83.302,"4,533.3",,
FJI,FJI2024,2024,81.521,"4,706.2",,
FJI,FJI2025,2025,80.696,"4,907.1",,
GAB,GAB2000,2000,72.497,"3,912.7",,
GAB,GAB2001,2001,80.979,"4,067.6",,
GAB,GAB2002,2002,81.07,"4,322.7",,
GAB,GAB2003,2003,70.241,"4,572.7",,
GAB,GAB2004,2004,60.301,"4,683.6",,
GAB,GAB2005,2005,41.7,"3,948.2",,
GAB,GAB2006,2006,34.884,"3,545.6",,
GAB,GAB2007,2007,39.237,"4,887.8",,
GAB,GAB2008,2008,20.053,"3,122.3",,
