iso,id,year,GG debt (% of GDP),GG debt ($ million)
CHN,CHN2012,2012,34.393,2937019.1
CHN,CHN2013,2013,37.035,3564592.1
CHN,CHN2014,2014,39.969,4206433.9
CHN,CHN2015,2015,41.489,4610883.3
CHN,CHN2016,2016,50.701,5692149.0
CHN,CHN2017,2017,54.951,6739919.8
CHN,CHN2018,2018,56.659,7842632.3
CHN,CHN2019,2019,60.404,8662296.0
CHN,CHN2020,2020,70.137,10424156.5
CHN,CHN2021,2021,71.836,12757575.8
CHN,CHN2022,2022,77.088,13759082.5
CHN,CHN2023,2023,83.644,14773237.6
CHN,CHN2024,2024,88.581,16416391.6
CHN,CHN2025,2025,92.994,18403581.4
COL,COL2000,2000,37.988,37710.7
COL,COL2001,2001,41.095,40111.2
COL,COL2002,2002,47.545,46286.5
COL,COL2003,2003,45.039,42369.1
COL,COL2004,2004,41.482,48277.6
COL,COL2005,2005,38.532,56103.0
COL,COL2006,2006,35.969,58195.3
COL,COL2007,2007,32.663,67360.9
COL,COL2008,2008,32.382,78528.0
COL,COL2009,2009,35.387,82263.8
COL,COL2010,2010,36.497,104563.2
COL,COL2011,2011,35.784,119864.2
COL,COL2012,2012,33.967,125912.6
COL,COL2013,2013,37.592,143636.8
COL,COL2014,2014,43.319,165149.4
COL,COL2015,2015,50.419,147975.7
COL,COL2016,2016,49.796,140782.8
COL,COL2017,2017,49.436,154185.9
COL,COL2018,2018,53.584,179037.0
COL,COL2019,2019,52.401,169284.1
COL,COL2020,2020,65.674,177548.3
COL,COL2021,2021,64.039,203980.2
COL,COL2022,2022,60.055,207387.9
COL,COL2023,2023,52.524,190985.7
COL,COL2024,2024,54.412,210071.7
COL,COL2025,2025,55.555,222486.7
COM,COM2000,2000,60.818,206.2
COM,COM2001,2001,53.046,197.9
COM,COM2002,2002,48.239,206.0
COM,COM2003,2003,44.498,243.4
COM,COM2004,2004,42.446,264.0
COM,COM2005,2005,39.865,261.5
COM,COM2006,2006,38.479,265.1
COM,COM2007,2007,35.616,283.5
COM,COM2008,2008,33.217,304.3
COM,COM2009,2009,31.73,286.8
COM,COM2010,2010,30.459,276.9
COM,COM2011,2011,27.668,283.0
COM,COM2012,2012,25.073,254.7
COM,COM2013,2013,10.277,114.7
COM,COM2014,2014,11.823,136.0
COM,COM2015,2015,14.274,137.9
COM,COM2016,2016,16.162,163.7
COM,COM2017,2017,18.934,203.9
COM,COM2018,2018,17.022,200.7
COM,COM2019,2019,21.229,252.2
COM,COM2020,2020,24.315,296.2
COM,COM2021,2021,26.276,334.5
COM,COM2022,2022,28.073,343.9
COM,COM2023,2023,33.232,445.3
COM,COM2024,2024,35.538,505.4
COM,COM2025,2025,36.257,549.7
COD,COD2000,2000,134.982,25750.5
COD,COD2001,2001,181.617,13160.0
COD,COD2002,2002,136.042,11862.9
COD,COD2003,2003,114.464,10326.9
COD,COD2004,2004,141.759,14565.7
COD,COD2005,2005,96.28,12246.8
COD,COD2006,2006,96.303,14833.6
COD,COD2007,2007,76.634,14252.4
COD,COD2008,2008,75.761,17171.2
COD,COD2009,2009,90.617,16878.3
COD,COD2010,2010,29.479,6585.6
COD,COD2011,2011,24.44,6453.6
COD,COD2012,2012,21.26,6393.7
COD,COD2013,2013,17.907,6251.0
COD,COD2014,2014,15.732,6034.0
COD,COD2015,2015,16.047,6443.5
COD,COD2016,2016,18.792,7157.1
COD,COD2017,2017,18.47,7288.4
COD,COD2018,2018,14.778,7098.9
COD,COD2019,2019,14.847,7555.8
COD,COD2020,2020,16.245,8059.6
COD,COD2021,2021,15.703,9136.3
COD,COD2022,2022,14.315,9437.5
COD,COD2023,2023,14.293,9614.6
COD,COD2024,2024,11.062,8159.4
COD,COD2025,2025,8.934,7422.5
COG,COG2000,2000,145.02,5255.5
COG,COG2001,2001,180.082,5470.9
COG,COG2002,2002,163.513,5445.0
COG,COG2003,2003,185.31,7158.5
COG,COG2004,2004,122.591,6253.4
COG,COG2005,2005,99.752,6637.5
COG,COG2006,2006,94.725,7647.1
COG,COG2007,2007,93.757,8235.6
COG,COG2008,2008,69.598,8107.5
COG,COG2009,2009,83.836,8143.0
COG,COG2010,2010,43.487,5722.5
COG,COG2011,2011,34.39,5383.1
COG,COG2012,2012,30.198,5346.3
COG,COG2013,2013,33.937,6094.7
COG,COG2014,2014,42.323,7583.4
COG,COG2015,2015,74.184,8821.2
COG,COG2016,2016,84.635,9248.9
COG,COG2017,2017,88.479,10467.1
COG,COG2018,2018,71.223,10527.5
COG,COG2019,2019,77.605,10846.9
COG,COG2020,2020,102.514,11773.7
COG,COG2021,2021,97.764,13087.7
COG,COG2022,2022,92.502,12914.2
COG,COG2023,2023,100.837,14543.7
COG,COG2024,2024,94.605,14664.7
COG,COG2025,2025,89.392,14507.4
CRI,CRI2000,2000,38.85,5833.7
CRI,CRI2001,2001,39.644,6334.7
CRI,CRI2002,2002,41.438,6872.1
CRI,CRI2003,2003,40.566,7008.6
CRI,CRI2004,2004,41.002,7632.5
CRI,CRI2005,2005,37.321,7482.5
CRI,CRI2006,2006,33.037,7505.0
CRI,CRI2007,2007,26.975,7252.2
CRI,CRI2008,2008,24.007,7394.6
CRI,CRI2009,2009,26.026,8002.0
CRI,CRI2010,2010,28.09,10577.6
CRI,CRI2011,2011,29.513,12620.3
CRI,CRI2012,2012,33.741,15936.2
CRI,CRI2013,2013,35.076,17870.9
CRI,CRI2014,2014,37.436,19473.1
CRI,CRI2015,2015,39.786,22456.0
CRI,CRI2016,2016,44.056,25925.6
CRI,CRI2017,2017,47.064,28481.7
CRI,CRI2018,2018,51.839,32358.9
CRI,CRI2019,2019,56.431,36348.3
CRI,CRI2020,2020,66.912,41741.0
CRI,CRI2021,2021,67.628,43927.1
CRI,CRI2022,2022,62.985,43607.7
CRI,CRI2023,2023,61.119,52873.4
CRI,CRI2024,2024,60.598,58209.2
CRI,CRI2025,2025,59.636,61027.9
CIV,CIV2000,2000,73.987,10987.8
CIV,CIV2001,2001,71.172,11021.0
CIV,CIV2002,2002,62.982,10800.2
CIV,CIV2003,2003,56.381,11956.2
CIV,CIV2004,2004,56.718,13002.0
CIV,CIV2005,2005,58.164,13741.8
CIV,CIV2006,2006,57.471,14154.0
CIV,CIV2007,2007,53.533,15073.8
CIV,CIV2008,2008,51.24,17227.4
CIV,CIV2009,2009,46.476,15659.2
CIV,CIV2010,2010,45.612,15704.7
CIV,CIV2011,2011,50.028,17774.4
CIV,CIV2012,2012,24.693,9143.8
CIV,CIV2013,2013,24.624,10644.5
CIV,CIV2014,2014,26.71,13056.4
CIV,CIV2015,2015,29.172,13365.2
CIV,CIV2016,2016,31.118,15063.6
CIV,CIV2017,2017,32.595,17116.3
CIV,CIV2018,2018,35.317,20668.2
CIV,CIV2019,2019,37.216,22472.1
CIV,CIV2020,2020,46.315,29233.6
CIV,CIV2021,2021,50.165,36536.7
CIV,CIV2022,2022,55.28,39827.0
CIV,CIV2023,2023,57.069,45642.6
CIV,CIV2024,2024,57.663,50115.5
CIV,CIV2025,2025,56.935,53457.4
DJI,DJI2000,2000,..,..
DJI,DJI2001,2001,..,..
DJI,DJI2002,2002,..,..
DJI,DJI2003,2003,..,..
DJI,DJI2004,2004,..,..
DJI,DJI2005,2005,..,..
DJI,DJI2006,2006,..,..
DJI,DJI2007,2007,..,..
DJI,DJI2008,2008,..,..
DJI,DJI2009,2009,29.532,421.1
DJI,DJI2010,2010,27.884,430.5
DJI,DJI2011,2011,25.682,446.9
DJI,DJI2012,2012,25.05,476.2
DJI,DJI2013,2013,24.573,502.3
DJI,DJI2014,2014,26.856,596.5
DJI,DJI2015,2015,40.26,975.9
DJI,DJI2016,2016,45.923,1196.3
DJI,DJI2017,2017,47.99,1326.0
DJI,DJI2018,2018,47.462,1382.6
DJI,DJI2019,2019,41.125,1270.4
DJI,DJI2020,2020,41.516,1322.3
DJI,DJI2021,2021,40.168,1360.1
DJI,DJI2022,2022,67.934,2531.2
DJI,DJI2023,2023,60.788,2445.5
DJI,DJI2024,2024,56.516,2466.4
DJI,DJI2025,2025,51.707,2438.0
DMA,DMA2000,2000,68.858,229.3
DMA,DMA2001,2001,98.505,334.9
DMA,DMA2002,2002,97.875,325.9
DMA,DMA2003,2003,94.918,325.6
DMA,DMA2004,2004,86.163,316.2
DMA,DMA2005,2005,82.009,298.5
DMA,DMA2006,2006,77.362,301.7
DMA,DMA2007,2007,71.765,302.1
DMA,DMA2008,2008,64.358,294.8
DMA,DMA2009,2009,62.507,305.7
DMA,DMA2010,2010,66.829,330.1
DMA,DMA2011,2011,69.681,349.1
DMA,DMA2012,2012,73.107,355.3
DMA,DMA2013,2013,73.927,368.2
DMA,DMA2014,2014,72.127,375.1
DMA,DMA2015,2015,68.873,372.6
DMA,DMA2016,2016,76.538,440.9
DMA,DMA2017,2017,84.011,438.5
DMA,DMA2018,2018,85.631,475.3
DMA,DMA2019,2019,97.678,597.8
DMA,DMA2020,2020,112.458,566.8
DMA,DMA2021,2021,108.475,602.0
DMA,DMA2022,2022,102.853,624.3
DMA,DMA2023,2023,97.223,639.7
DMA,DMA2024,2024,98.678,698.6
DMA,DMA2025,2025,95.892,722.1
DOM,DOM2000,2000,16.707,4060.8
DOM,DOM2001,2001,20.351,5210.3
DOM,DOM2002,2002,21.487,5855.0
DOM,DOM2003,2003,48.15,10360.9
DOM,DOM2004,2004,34.346,7729.9
DOM,DOM2005,2005,38.322,13776.0
DOM,DOM2006,2006,36.022,13687.6
DOM,DOM2007,2007,32.907,14501.1
DOM,DOM2008,2008,33.607,16200.6
DOM,DOM2009,2009,36.734,17749.5
DOM,DOM2010,2010,37.311,20118.5
DOM,DOM2011,2011,39.053,22685.1
DOM,DOM2012,2012,42.32,25708.1
DOM,DOM2013,2013,46.715,29317.4
DOM,DOM2014,2014,44.911,30208.9
DOM,DOM2015,2015,44.687,31841.3
DOM,DOM2016,2016,46.591,35305.3
DOM,DOM2017,2017,48.906,39164.9
DOM,DOM2018,2018,50.465,43213.2
DOM,DOM2019,2019,53.579,47702.5
DOM,DOM2020,2020,71.54,56461.5
DOM,DOM2021,2021,63.226,59722.0
DOM,DOM2022,2022,59.547,67808.0
DOM,DOM2023,2023,60.929,73094.1
DOM,DOM2024,2024,59.464,75731.0
DOM,DOM2025,2025,58.715,80028.5
ECU,ECU2000,2000,..,..
ECU,ECU2001,2001,63.803,14755.7
ECU,ECU2002,2002,55.043,14891.3
ECU,ECU2003,2003,47.198,14614.9
ECU,ECU2004,2004,40.2,14148.4
ECU,ECU2005,2005,35.758,14403.0
ECU,ECU2006,2006,33.094,15121.0
ECU,ECU2007,2007,29.648,14779.2
ECU,ECU2008,2008,24.873,15207.1
ECU,ECU2009,2009,19.667,11818.9
ECU,ECU2010,2010,18.436,12564.3
ECU,ECU2011,2011,18.607,14697.1
ECU,ECU2012,2012,18.776,16473.1
ECU,ECU2013,2013,22.908,22122.3
ECU,ECU2014,2014,27.703,28456.0
ECU,ECU2015,2015,35.971,34967.4
ECU,ECU2016,2016,45.617,44554.6
ECU,ECU2017,2017,46.953,49050.4
ECU,ECU2018,2018,49.091,52762.5
ECU,ECU2019,2019,51.656,55579.8
ECU,ECU2020,2020,63.079,60470.7
ECU,ECU2021,2021,61.578,66156.3
ECU,ECU2022,2022,56.96,66407.4
ECU,ECU2023,2023,54.666,65694.9
ECU,ECU2024,2024,..,..
ECU,ECU2025,2025,..,..
EGY,EGY2000,2000,71.687,75093.6
EGY,EGY2001,2001,79.146,80945.0
EGY,EGY2002,2002,85.776,77422.3
EGY,EGY2003,2003,97.095,82689.0
EGY,EGY2004,2004,96.512,79965.0
EGY,EGY2005,2005,98.263,92492.0
EGY,EGY2006,2006,85.924,97009.9
EGY,EGY2007,2007,76.268,104529.1
EGY,EGY2008,2008,66.761,114025.8
EGY,EGY2009,2009,69.45,137730.5
EGY,EGY2010,2010,69.59,160073.7
EGY,EGY2011,2011,72.83,180418.8
EGY,EGY2012,2012,69.862,205731.0
EGY,EGY2013,2013,79.812,241985.2
EGY,EGY2014,2014,80.874,260118.3
EGY,EGY2015,2015,83.754,293238.7
EGY,EGY2016,2016,91.586,321872.6
EGY,EGY2017,2017,97.8,241395.8
EGY,EGY2018,2018,87.949,231443.1
EGY,EGY2019,2019,80.092,254607.7
EGY,EGY2020,2020,86.222,329820.7
EGY,EGY2021,2021,89.903,380559.4
EGY,EGY2022,2022,88.534,420741.0
EGY,EGY2023,2023,95.91,377798.1
EGY,EGY2024,2024,96.366,334962.4
EGY,EGY2025,2025,82.624,271704.9
SLV,SLV2000,2000,29.551,3482.6
SLV,SLV2001,2001,37.842,4648.1
SLV,SLV2002,2002,43.8,5546.8
SLV,SLV2003,2003,45.962,6087.2
SLV,SLV2004,2004,46.813,6425.1
SLV,SLV2005,2005,46.286,6803.1
SLV,SLV2006,2006,52.559,8409.4
SLV,SLV2007,2007,52.197,8879.8
SLV,SLV2008,2008,54.212,9751.1
SLV,SLV2009,2009,65.778,11578.2
SLV,SLV2010,2010,66.794,12322.2
SLV,SLV2011,2011,65.598,13305.9
SLV,SLV2012,2012,69.994,14968.9
SLV,SLV2013,2013,69.655,15317.8
SLV,SLV2014,2014,71.791,16219.7
SLV,SLV2015,2015,73.464,17218.5
SLV,SLV2016,2016,75.214,18195.0
SLV,SLV2017,2017,77.136,19267.8
SLV,SLV2018,2018,76.961,20026.0
SLV,SLV2019,2019,77.906,20941.9
SLV,SLV2020,2020,95.365,23765.9
SLV,SLV2021,2021,87.955,25544.8
SLV,SLV2022,2022,83.346,26661.6
SLV,SLV2023,2023,83.799,28505.1
SLV,SLV2024,2024,84.441,29835.5
SLV,SLV2025,2025,84.191,31226.4
GNQ,GNQ2000,2000,36.627,424.5
GNQ,GNQ2001,2001,25.477,426.5
GNQ,GNQ2002,2002,19.447,402.7
GNQ,GNQ2003,2003,6.713,252.9
GNQ,GNQ2004,2004,4.526,269.5
GNQ,GNQ2005,2005,2.849,233.2
GNQ,GNQ2006,2006,1.22,123.2
GNQ,GNQ2007,2007,0.754,98.7
GNQ,GNQ2008,2008,0.488,96.8
GNQ,GNQ2009,2009,4.337,654.4
GNQ,GNQ2010,2010,7.894,1287.8
GNQ,GNQ2011,2011,7.17,1531.3
GNQ,GNQ2012,2012,7.097,1588.9
GNQ,GNQ2013,2013,6.272,1376.6
GNQ,GNQ2014,2014,12.56,2733.7
GNQ,GNQ2015,2015,31.657,4174.0
GNQ,GNQ2016,2016,41.139,4624.4
GNQ,GNQ2017,2017,36.235,4421.0
GNQ,GNQ2018,2018,41.207,5396.9
GNQ,GNQ2019,2019,43.189,4908.0
GNQ,GNQ2020,2020,49.386,4886.3
GNQ,GNQ2021,2021,42.109,5166.4
GNQ,GNQ2022,2022,34.615,4073.1
GNQ,GNQ2023,2023,42.448,4365.4
GNQ,GNQ2024,2024,37.669,4033.6
GNQ,GNQ2025,2025,36.838,3954.2
ERI,ERI2000,2000,219.102,1198.5
ERI,ERI2001,2001,238.566,1388.5
ERI,ERI2002,2002,243.438,1373.0
ERI,ERI2003,2003,263.987,1776.6
ERI,ERI2004,2004,193.512,1660.3
ERI,ERI2005,2005,205.371,1745.7
ERI,ERI2006,2006,199.046,1865.1
ERI,ERI2007,2007,201.28,2053.1
ERI,ERI2008,2008,259.667,2396.7
ERI,ERI2009,2009,207.054,2685.5
ERI,ERI2010,2010,201.787,3208.4
ERI,ERI2011,2011,171.569,3542.9
ERI,ERI2012,2012,171.577,3869.1
ERI,ERI2013,2013,232.428,4550.9
ERI,ERI2014,2014,204.483,5324.7
ERI,ERI2015,2015,271.409,5471.6
ERI,ERI2016,2016,251.228,5559.7
ERI,ERI2017,2017,290.386,5528.9
ERI,ERI2018,2018,267.092,5357.9
ERI,ERI2019,2019,260.393,5161.0
ERI,ERI2020,2020,..,..
ERI,ERI2021,2021,..,..
ERI,ERI2022,2022,..,..
ERI,ERI2023,2023,..,..
ERI,ERI2024,2024,..,..
ERI,ERI2025,2025,..,..
SWZ,SWZ2000,2000,17.712,308.0
SWZ,SWZ2001,2001,21.037,324.8
SWZ,SWZ2002,2002,16.714,240.0
SWZ,SWZ2003,2003,17.154,377.0
SWZ,SWZ2004,2004,14.557,403.8
SWZ,SWZ2005,2005,13.162,418.2
SWZ,SWZ2006,2006,14.245,469.1
SWZ,SWZ2007,2007,15.675,543.1
SWZ,SWZ2008,2008,14.188,467.9
SWZ,SWZ2009,2009,10.303,370.5
SWZ,SWZ2010,2010,13.829,613.7
SWZ,SWZ2011,2011,14.168,683.7
SWZ,SWZ2012,2012,14.382,702.8
SWZ,SWZ2013,2013,14.707,676.5
SWZ,SWZ2014,2014,13.86,613.4
SWZ,SWZ2015,2015,19.252,781.8
SWZ,SWZ2016,2016,24.866,948.6
SWZ,SWZ2017,2017,27.626,1217.5
SWZ,SWZ2018,2018,33.855,1580.0
SWZ,SWZ2019,2019,39.513,1776.1
SWZ,SWZ2020,2020,40.991,1633.1
SWZ,SWZ2021,2021,40.183,1949.3
SWZ,SWZ2022,2022,40.952,1962.0
SWZ,SWZ2023,2023,37.814,1840.8
SWZ,SWZ2024,2024,37.2,1891.6
SWZ,SWZ2025,2025,37.966,2014.5
ETH,ETH2000,2000,93.633,7647.0
ETH,ETH2001,2001,97.325,7886.2
ETH,ETH2002,2002,107.363,8404.4
ETH,ETH2003,2003,103.691,8921.6
ETH,ETH2004,2004,103.104,10436.2
ETH,ETH2005,2005,78.239,9691.5
ETH,ETH2006,2006,78.062,11951.3
ETH,ETH2007,2007,43.042,8319.6
ETH,ETH2008,2008,41.798,10972.0
ETH,ETH2009,2009,29.96,8590.1
ETH,ETH2010,2010,39.436,10603.2
ETH,ETH2011,2011,44.565,13583.4
ETH,ETH2012,2012,39.358,16617.3
ETH,ETH2013,2013,44.104,20527.8
ETH,ETH2014,2014,44.152,23914.9
ETH,ETH2015,2015,50.743,32009.2
ETH,ETH2016,2016,51.803,37360.3
ETH,ETH2017,2017,55.278,42476.2
ETH,ETH2018,2018,58.449,46880.2
ETH,ETH2019,2019,54.699,50655.6
ETH,ETH2020,2020,53.697,51877.2
ETH,ETH2021,2021,53.767,53374.0
ETH,ETH2022,2022,47.086,56017.3
ETH,ETH2023,2023,37.972,60659.1
ETH,ETH2024,2024,30.462,62486.7
ETH,ETH2025,2025,28.617,67548.7
FJI,FJI2000,2000,35.921,655.2
FJI,FJI2001,2001,41.934,754.0
FJI,FJI2002,2002,44.538,889.0
FJI,FJI2003,2003,46.444,1165.3
FJI,FJI2004,2004,45.894,1355.7
FJI,FJI2005,2005,45.318,1476.0
FJI,FJI2006,2006,50.325,1691.4
FJI,FJI2007,2007,46.437,1712.6
FJI,FJI2008,2008,47.932,1829.1
FJI,FJI2009,2009,51.501,1599.6
FJI,FJI2010,2010,53.355,1815.1
FJI,FJI2011,2011,50.977,2087.0
FJI,FJI2012,2012,48.625,2092.3
FJI,FJI2013,2013,47.399,2151.4
FJI,FJI2014,2014,46.207,2244.3
FJI,FJI2015,2015,44.275,2073.0
FJI,FJI2016,2016,44.556,2196.6
FJI,FJI2017,2017,43.427,2324.6
FJI,FJI2018,2018,45.767,2554.3
FJI,FJI2019,2019,48.954,2665.1
FJI,FJI2020,2020,63.625,2819.9
FJI,FJI2021,2021,83.252,3584.0
FJI,FJI2022,2022,91.046,4534.1
FJI,FJI2023,2023,82.727,4547.5
FJI,FJI2024,2024,81.113,4705.4
FJI,FJI2025,2025,80.639,4921.4
GAB,GAB2000,2000,72.497,3912.7
GAB,GAB2001,2001,80.979,4067.6
GAB,GAB2002,2002,81.07,4322.7
GAB,GAB2003,2003,70.241,4572.7
GAB,GAB2004,2004,60.301,4683.6
GAB,GAB2005,2005,41.7,3948.2
GAB,GAB2006,2006,34.884,3545.6
GAB,GAB2007,2007,39.237,4887.8
GAB,GAB2008,2008,20.053,3122.3
GAB,GAB2009,2009,25.992,3167.9
GAB,GAB2010,2010,21.295,3063.1
GAB,GAB2011,2011,21.425,3900.8
GAB,GAB2012,2012,21.442,3684.0
GAB,GAB2013,2013,31.113,5474.6
GAB,GAB2014,2014,34.063,6202.5
GAB,GAB2015,2015,44.703,6430.5
GAB,GAB2016,2016,64.199,9000.7
GAB,GAB2017,2017,62.886,9385.1
GAB,GAB2018,2018,61.077,10279.3
GAB,GAB2019,2019,59.962,10088.0
GAB,GAB2020,2020,78.293,12007.8
GAB,GAB2021,2021,65.816,13313.9
GAB,GAB2022,2022,63.647,13414.2
GAB,GAB2023,2023,70.482,14465.7
GAB,GAB2024,2024,73.112,15363.0
GAB,GAB2025,2025,78.895,16646.1
GMB,GMB2000,2000,73.25,739.8
GMB,GMB2001,2001,75.23,753.8
GMB,GMB2002,2002,93.875,832.7
GMB,GMB2003,2003,91.694,773.0
GMB,GMB2004,2004,81.303,782.1
GMB,GMB2005,2005,82.596,849.1
GMB,GMB2006,2006,87.344,920.6
GMB,GMB2007,2007,38.023,486.7
GMB,GMB2008,2008,39.528,617.4
GMB,GMB2009,2009,38.868,563.6
GMB,GMB2010,2010,42.949,662.7
GMB,GMB2011,2011,49.241,694.3
GMB,GMB2012,2012,49.492,700.3
GMB,GMB2013,2013,58.244,801.4
GMB,GMB2014,2014,71.086,873.6
GMB,GMB2015,2015,69.369,939.9
GMB,GMB2016,2016,80.948,1189.9
GMB,GMB2017,2017,86.979,1302.9
GMB,GMB2018,2018,83.596,1389.4
GMB,GMB2019,2019,82.967,1498.4
GMB,GMB2020,2020,85.888,1553.7
GMB,GMB2021,2021,83.113,1699.7
GMB,GMB2022,2022,82.856,1790.5
GMB,GMB2023,2023,71.728,1694.2
GMB,GMB2024,2024,64.252,1730.9
GMB,GMB2025,2025,59.669,1793.7
GEO,GEO2000,2000,58.516,1839.7
GEO,GEO2001,2001,52.984,1754.3
GEO,GEO2002,2002,50.264,1755.7
GEO,GEO2003,2003,54.552,2238.3
GEO,GEO2004,2004,44.277,2333.0
GEO,GEO2005,2005,35.322,2327.7
GEO,GEO2006,2006,28.279,2256.4
GEO,GEO2007,2007,22.536,2356.8
GEO,GEO2008,2008,26.346,3466.6
GEO,GEO2009,2009,33.649,3724.6
GEO,GEO2010,2010,31.448,3907.4
GEO,GEO2011,2011,27.687,4284.6
GEO,GEO2012,2012,28.123,4751.1
GEO,GEO2013,2013,28.942,5069.5
GEO,GEO2014,2014,30.335,5450.0
GEO,GEO2015,2015,36.015,5482.6
GEO,GEO2016,2016,39.465,6095.4
GEO,GEO2017,2017,38.894,6406.6
GEO,GEO2018,2018,38.221,6843.5
GEO,GEO2019,2019,40.049,7066.6
GEO,GEO2020,2020,59.559,9537.2
GEO,GEO2021,2021,49.094,9253.7
GEO,GEO2022,2022,39.169,9786.4
GEO,GEO2023,2023,39.232,11979.9
GEO,GEO2024,2024,38.786,12747.0
GEO,GEO2025,2025,37.75,13421.6
GHA,GHA2000,2000,80.17,9195.5
GHA,GHA2001,2001,61.919,7575.2
GHA,GHA2002,2002,57.96,8233.2
GHA,GHA2003,2003,52.847,9263.0
GHA,GHA2004,2004,41.107,8345.5
GHA,GHA2005,2005,33.993,8362.3
GHA,GHA2006,2006,18.509,5346.0
GHA,GHA2007,2007,22.549,7676.6
GHA,GHA2008,2008,24.644,9527.1
GHA,GHA2009,2009,26.792,9270.3
GHA,GHA2010,2010,34.507,14950.8
GHA,GHA2011,2011,31.264,16835.4
GHA,GHA2012,2012,35.351,20098.5
GHA,GHA2013,2013,42.93,27347.3
GHA,GHA2014,2014,50.111,27202.8
GHA,GHA2015,2015,53.896,26644.6
GHA,GHA2016,2016,55.942,31408.1
GHA,GHA2017,2017,56.984,34409.8
GHA,GHA2018,2018,61.976,41684.4
GHA,GHA2019,2019,58.344,39879.9
GHA,GHA2020,2020,72.337,50641.7
GHA,GHA2021,2021,79.159,63009.8
GHA,GHA2022,2022,93.256,67370.9
GHA,GHA2023,2023,86.07,65651.6
GHA,GHA2024,2024,83.593,62898.7
GHA,GHA2025,2025,80.896,61496.3
GRD,GRD2000,2000,41.626,216.5
GRD,GRD2001,2001,44.608,232.0
GRD,GRD2002,2002,79.09,427.1
GRD,GRD2003,2003,79.562,470.2
GRD,GRD2004,2004,94.694,567.2
GRD,GRD2005,2005,87.312,606.8
GRD,GRD2006,2006,92.923,649.5
GRD,GRD2007,2007,89.056,675.9
GRD,GRD2008,2008,83.913,693.1
GRD,GRD2009,2009,91.094,702.3
GRD,GRD2010,2010,96.216,741.8
GRD,GRD2011,2011,102.782,800.7
GRD,GRD2012,2012,101.501,812.0
GRD,GRD2013,2013,105.437,888.8
GRD,GRD2014,2014,99.34,905.0
GRD,GRD2015,2015,90.1,898.3
GRD,GRD2016,2016,81.568,866.3
GRD,GRD2017,2017,70.403,792.7
GRD,GRD2018,2018,64.015,747.1
GRD,GRD2019,2019,58.549,710.2
GRD,GRD2020,2020,71.411,744.8
GRD,GRD2021,2021,69.891,784.9
GRD,GRD2022,2022,62.762,772.6
GRD,GRD2023,2023,61.998,823.3
GRD,GRD2024,2024,61.157,859.9
GRD,GRD2025,2025,60.726,903.0
GTM,GTM2000,2000,17.999,3262.1
GTM,GTM2001,2001,19.11,3771.4
GTM,GTM2002,2002,17.362,3806.4
GTM,GTM2003,2003,19.803,4572.9
GTM,GTM2004,2004,20.553,5133.5
GTM,GTM2005,2005,20.017,5640.6
GTM,GTM2006,2006,20.86,6530.8
GTM,GTM2007,2007,20.779,7278.5
GTM,GTM2008,2008,19.57,7875.4
GTM,GTM2009,2009,22.78,8655.7
GTM,GTM2010,2010,24.006,9960.8
GTM,GTM2011,2011,23.769,11271.0
GTM,GTM2012,2012,24.557,12254.4
GTM,GTM2013,2013,25.035,13265.8
GTM,GTM2014,2014,24.651,14256.9
GTM,GTM2015,2015,24.803,15422.5
GTM,GTM2016,2016,24.956,16479.4
GTM,GTM2017,2017,25.093,17972.6
GTM,GTM2018,2018,26.43,19381.4
GTM,GTM2019,2019,26.414,20380.0
GTM,GTM2020,2020,31.493,24474.5
GTM,GTM2021,2021,30.761,26467.1
GTM,GTM2022,2022,29.201,27742.1
GTM,GTM2023,2023,27.837,28403.8
GTM,GTM2024,2024,27.589,30357.6
GTM,GTM2025,2025,28.122,33180.0
GIN,GIN2000,2000,91.492,3695.4
GIN,GIN2001,2001,90.436,3442.0
GIN,GIN2002,2002,82.61,3322.6
GIN,GIN2003,2003,81.572,3882.0
GIN,GIN2004,2004,86.866,4353.7
GIN,GIN2005,2005,97.915,4412.0
GIN,GIN2006,2006,95.222,3978.4
GIN,GIN2007,2007,60.8,3840.7
GIN,GIN2008,2008,58.463,4072.5
GIN,GIN2009,2009,61.306,4140.0
GIN,GIN2010,2010,68.853,4721.9
GIN,GIN2011,2011,58.082,3935.1
GIN,GIN2012,2012,27.185,2008.2
GIN,GIN2013,2013,33.967,2845.1
GIN,GIN2014,2014,35.158,3085.8
GIN,GIN2015,2015,44.389,3901.8
GIN,GIN2016,2016,43.009,3700.5
GIN,GIN2017,2017,41.884,4324.5
GIN,GIN2018,2018,39.267,4655.9
GIN,GIN2019,2019,38.576,5185.8
GIN,GIN2020,2020,47.793,6733.6
GIN,GIN2021,2021,42.717,6971.4
GIN,GIN2022,2022,40.178,7870.5
GIN,GIN2023,2023,40.311,9273.5
GIN,GIN2024,2024,35.072,8924.8
GIN,GIN2025,2025,32.639,8883.0
GNB,GNB2000,2000,217.139,851.2
GNB,GNB2001,2001,204.442,844.3
GNB,GNB2002,2002,197.471,920.2
GNB,GNB2003,2003,183.384,1014.1
GNB,GNB2004,2004,201.959,1175.4
GNB,GNB2005,2005,203.651,1303.4
GNB,GNB2006,2006,190.407,1209.1
GNB,GNB2007,2007,163.97,1234.7
GNB,GNB2008,2008,148.815,1418.2
GNB,GNB2009,2009,148.258,1318.0
GNB,GNB2010,2010,61.726,580.8
