Group,year,totalDebtMedian,totalDebtQ1,totalDebtQ3,externalDebtMedian,externalDebtQ1,externalDebtQ3
South Asia (SA),2002,60.5,55,90.3,29.1,25.7,42.4
South Asia (SA),2003,62.8,49.1,86,28.3,24.6,42.3
South Asia (SA),2004,63.7,47.1,85.3,25,24.2,40.1
South Asia (SA),2005,62.2,44.6,79.7,25.8,21.5,33.4
South Asia (SA),2006,44.5,36.4,75.2,22,19,31.1
South Asia (SA),2007,40.9,35.6,68.4,22.3,20.4,29.8
South Asia (SA),2008,44,36,62.6,20.5,19.1,25.1
South Asia (SA),2009,50.9,37.8,64,23.1,17.4,25
South Asia (SA),2010,54,33.9,59.3,20.8,14.7,25.2
South Asia (SA),2011,53.5,31.7,64.9,18.1,13.7,26.2
South Asia (SA),2012,57.2,33.2,67.6,17.4,13.9,26.9
South Asia (SA),2013,57.1,31,68.1,16.9,13.1,28.2
South Asia (SA),2014,56.4,28.4,67.7,16.6,12.1,23
South Asia (SA),2015,56.4,27.6,70.9,15.6,11.2,20.9
South Asia (SA),2016,61.5,27,70.5,16.2,10.9,24.2
South Asia (SA),2017,62.7,27.5,70.3,17.3,11.6,28.1
South Asia (SA),2018,67.6,30.7,74.9,17.8,12.3,36.7
South Asia (SA),2019,76.3,33.5,79.7,20.8,12.5,40.2
South Asia (SA),2020,84,41.1,101.3,25,13.4,52.4
South Asia (SA),2021,78.5,41.4,107,24.2,14.6,47.1
South Asia (SA),2022,78.9,41.8,111.7,22,14.2,49.7
South Asia (SA),2023,79.9,49.5,106.5,,,
South Asia (SA),2024,77.1,50.2,104.2,,,
Europe & Central Asia (ECA),2000,57.2,42.7,77.3,32.2,22.7,53.6
Europe & Central Asia (ECA),2001,49.1,42.8,78,28.8,22.2,45.5
Europe & Central Asia (ECA),2002,45.9,34.6,71.6,31.2,20,43.4
Europe & Central Asia (ECA),2003,38.7,28.6,63.9,28.3,17.9,36.6
Europe & Central Asia (ECA),2004,34.6,22.8,49.4,26.7,16,28.9
Europe & Central Asia (ECA),2005,28.5,16.3,43.1,18,11.6,23.4
Europe & Central Asia (ECA),2006,21.9,13.2,36.7,16.3,10.2,22.3
Europe & Central Asia (ECA),2007,18.1,11.6,31.3,14,10.1,18.8
Europe & Central Asia (ECA),2008,20.5,10.2,30.6,12.4,8.7,17
Europe & Central Asia (ECA),2009,33.1,10.1,37.7,16.2,10.5,25
Europe & Central Asia (ECA),2010,34.1,10.5,40,18.6,9.9,26.6
Europe & Central Asia (ECA),2011,31.6,10.3,42.4,17.3,9.4,25.3
Europe & Central Asia (ECA),2012,32.3,13.4,41.5,19.1,10.9,28.3
Europe & Central Asia (ECA),2013,30.4,15.2,41.3,19.4,10.8,29.6
Europe & Central Asia (ECA),2014,32.6,15,47.8,21.5,11.2,28.4
Europe & Central Asia (ECA),2015,37,20.9,56.5,26.7,15.5,37.2
Europe & Central Asia (ECA),2016,39.6,20.4,57.3,31,17.1,38.9
Europe & Central Asia (ECA),2017,38.2,21.9,57.8,33.2,16.4,37.9
Europe & Central Asia (ECA),2018,36,19.9,53.7,28.6,16.6,35
Europe & Central Asia (ECA),2019,36.2,19.5,49.3,27,16.6,33.5
Europe & Central Asia (ECA),2020,43.5,25.6,59.8,32.2,20.6,39.4
Europe & Central Asia (ECA),2021,40.8,26,53.6,29.3,17.7,35.7
Europe & Central Asia (ECA),2022,34.4,23,49.8,26.5,16,34.5
Europe & Central Asia (ECA),2023,35.5,22.8,49.7,,,
Europe & Central Asia (ECA),2024,36.7,24,50.1,,,
Middle East and North Africa (MENA),2000,63.9,55.3,92.4,39.5,30.5,41
Middle East and North Africa (MENA),2001,60.5,50.5,90.6,35.9,29.2,44.2
Middle East and North Africa (MENA),2002,58.6,48.4,92.6,36,31.4,45.2
Middle East and North Africa (MENA),2003,56.9,41.8,95,40.9,29.8,46
Middle East and North Africa (MENA),2004,54.4,42.1,104.8,35.5,22.2,44.6
Middle East and North Africa (MENA),2005,50.7,34.6,85.6,30.4,18.5,38.7
Middle East and North Africa (MENA),2006,45.7,31.7,76.1,26.7,18.2,40.9
Middle East and North Africa (MENA),2007,42.7,32.1,70.3,25.5,18.4,40.1
Middle East and North Africa (MENA),2008,42,29.7,60.5,19.6,10.9,28.8
Middle East and North Africa (MENA),2009,43.5,28.1,60.8,20.4,10.2,30.6
Middle East and North Africa (MENA),2010,42.9,26.6,55,20.1,8.9,30
Middle East and North Africa (MENA),2011,45.7,26,55.3,20.5,12.4,31.4
Middle East and North Africa (MENA),2012,47.6,27.4,61.1,19.6,10.9,33.3
Middle East and North Africa (MENA),2013,46.7,27.4,66.3,24.5,14,32.5
Middle East and North Africa (MENA),2014,49,29.9,66.8,25.3,11.5,33.9
Middle East and North Africa (MENA),2015,56.9,38.7,68.4,21.7,9.7,36.8
Middle East and North Africa (MENA),2016,60.1,46.9,77,24.2,11.9,39.3
Middle East and North Africa (MENA),2017,60.3,46.5,79.7,28,14.5,48.8
Middle East and North Africa (MENA),2018,60.5,45.2,80.6,29.5,14,49.1
Middle East and North Africa (MENA),2019,60.3,42.6,79.1,28.3,14.4,52.1
Middle East and North Africa (MENA),2020,77,47.7,86.6,33.4,16,56.2
Middle East and North Africa (MENA),2021,69.5,52.7,84.9,30.6,13.9,47.9
Middle East and North Africa (MENA),2022,67.9,47.6,84.2,28.2,10.9,44.8
Middle East and North Africa (MENA),2023,65.7,46.4,80,,,
Middle East and North Africa (MENA),2024,70.4,48.2,81.4,,,
East Asia & Pacific (EAP),2000,36.6,28.8,52.9,32,27.5,52.6
East Asia & Pacific (EAP),2001,40,30.9,54.7,34.6,27.6,49.6
East Asia & Pacific (EAP),2002,42,32.3,61.1,38.3,28.3,50.6
East Asia & Pacific (EAP),2003,42.1,33.6,55.8,41,26.7,49.7
East Asia & Pacific (EAP),2004,40.9,30.1,51.6,36.1,23,44.5
East Asia & Pacific (EAP),2005,37.4,28.7,45.3,30.2,17.8,37.3
East Asia & Pacific (EAP),2006,36.7,26.2,42,27.9,15.5,33.9
East Asia & Pacific (EAP),2007,33.3,26.9,39,22,13.5,30.8
East Asia & Pacific (EAP),2008,30.6,24,38.3,19.6,12.8,27.7
East Asia & Pacific (EAP),2009,35.4,22.2,47,21.2,14.7,30.6
East Asia & Pacific (EAP),2010,34.2,23.1,43.6,21.6,13.1,24.2
East Asia & Pacific (EAP),2011,33.2,21.8,42.6,17.6,11.7,21.6
East Asia & Pacific (EAP),2012,36,20.2,46,15.8,8.8,25
East Asia & Pacific (EAP),2013,35.2,24.5,47.1,14.9,7.6,25.9
East Asia & Pacific (EAP),2014,35.2,24.3,43.9,15.2,6.6,25.8
East Asia & Pacific (EAP),2015,37,24,45.7,17,6.7,26.1
East Asia & Pacific (EAP),2016,37.9,24,48.6,17.5,8.5,30.2
East Asia & Pacific (EAP),2017,39.1,23.6,46.6,18,9.3,34.5
East Asia & Pacific (EAP),2018,38.8,22,45.9,17,10.6,34.6
East Asia & Pacific (EAP),2019,39.7,21.9,44.9,17.1,10.6,35.8
East Asia & Pacific (EAP),2020,43.4,22.7,52.2,21,14.3,37.8
East Asia & Pacific (EAP),2021,48,21.7,66.1,21.5,12.8,40.3
East Asia & Pacific (EAP),2022,44.7,21,64,19.2,11,34.4
East Asia & Pacific (EAP),2023,40.8,19.9,61.6,,,
East Asia & Pacific (EAP),2024,43.9,21.4,63,,,
Latin America & Caribbean (LAC),2000,38.9,32.8,62.2,28.4,17,49.1
Latin America & Caribbean (LAC),2001,43.8,37.3,63.6,28.8,17.7,47.5
Latin America & Caribbean (LAC),2002,50.5,42.6,77.6,37.8,20.4,54.4
Latin America & Caribbean (LAC),2003,49.4,43.4,75.5,39.4,24.4,51.7
Latin America & Caribbean (LAC),2004,46.8,39.6,78.5,40.1,20.6,56.3
Latin America & Caribbean (LAC),2005,46.3,36.3,71.1,30.4,17.8,47.9
Latin America & Caribbean (LAC),2006,39.2,33.1,59.5,27.2,16.7,37.6
Latin America & Caribbean (LAC),2007,32.9,26.7,57.2,19.4,13.6,29.4
Latin America & Caribbean (LAC),2008,33.9,24.4,54,17.5,12,31.6
Latin America & Caribbean (LAC),2009,36.7,24.9,59.9,17,12.6,31.8
Latin America & Caribbean (LAC),2010,37.6,25,61.8,16.3,12.9,37.1
Latin America & Caribbean (LAC),2011,38.9,24.2,62.3,14.2,11.8,35.8
Latin America & Caribbean (LAC),2012,40.4,25.8,62.7,15.6,11.9,36.3
Latin America & Caribbean (LAC),2013,43.5,28.4,66.4,17.1,12.9,35.8
Latin America & Caribbean (LAC),2014,44.7,28.2,66.9,18.1,13.5,38.5
Latin America & Caribbean (LAC),2015,50.4,37.1,70.3,22.2,12.9,36.7
Latin America & Caribbean (LAC),2016,53.1,41.7,76,24.2,18.8,36
Latin America & Caribbean (LAC),2017,52.5,44.1,75.1,24.3,18.2,37.1
Latin America & Caribbean (LAC),2018,53.6,45.7,77.9,25,19.1,36.5
Latin America & Caribbean (LAC),2019,58.5,47.3,81.3,26.7,20.8,36.9
Latin America & Caribbean (LAC),2020,71.5,55.5,99.5,36,27.6,44.1
Latin America & Caribbean (LAC),2021,69.9,53.5,88.4,31.4,22.2,45.3
Latin America & Caribbean (LAC),2022,63,51.7,83.6,30.4,20,42.9
Latin America & Caribbean (LAC),2023,62,48.5,84.2,,,
Latin America & Caribbean (LAC),2024,61.2,44.6,86.2,,,
Sub-Saharan Africa (SSA),2000,81.1,55.9,95.5,61,43.8,87.8
Sub-Saharan Africa (SSA),2001,77.5,53,113.5,59.2,42.8,75.4
Sub-Saharan Africa (SSA),2002,69,45.3,104.4,58.1,43.3,83.8
Sub-Saharan Africa (SSA),2003,60.6,43.3,99.8,52.6,41.2,79.4
Sub-Saharan Africa (SSA),2004,55.1,40.7,98.8,48.4,34.8,70.6
Sub-Saharan Africa (SSA),2005,58.2,36.1,82.6,40,31.1,60.9
Sub-Saharan Africa (SSA),2006,37.1,18.7,78.1,21.9,13,52.8
Sub-Saharan Africa (SSA),2007,34.2,19,53.7,21.7,13,47.3
Sub-Saharan Africa (SSA),2008,32.8,19.1,58.5,16.5,10.6,40.5
Sub-Saharan Africa (SSA),2009,30,20.5,56.8,19.5,12.8,36.6
Sub-Saharan Africa (SSA),2010,32.3,20.8,43.9,18.8,12,27.3
Sub-Saharan Africa (SSA),2011,29.8,21.1,42.5,17.9,11.7,26.2
Sub-Saharan Africa (SSA),2012,29.3,21.3,38.2,16.6,13.7,23.6
Sub-Saharan Africa (SSA),2013,33.5,22.4,41.2,17.9,14.4,24
Sub-Saharan Africa (SSA),2014,37.1,26.2,44.7,20.2,13.8,25.4
Sub-Saharan Africa (SSA),2015,44.6,31.3,57.2,22.3,16.2,30.2
Sub-Saharan Africa (SSA),2016,46.6,35.9,60.5,23,17.8,32.4
Sub-Saharan Africa (SSA),2017,47.7,36.5,63.2,23.9,19.7,34.2
Sub-Saharan Africa (SSA),2018,50.4,38.2,63.5,23.4,18.3,36.2
Sub-Saharan Africa (SSA),2019,54.4,40.9,70.7,26.2,19.2,38
Sub-Saharan Africa (SSA),2020,56.5,46.1,76.3,29.4,21.7,47
Sub-Saharan Africa (SSA),2021,58.4,50.2,73.3,28.4,21.7,42.3
Sub-Saharan Africa (SSA),2022,58.4,47.1,76,27.9,21.6,39.1
Sub-Saharan Africa (SSA),2023,61.9,49.5,79.6,,,
Sub-Saharan Africa (SSA),2024,60.4,46.5,73,,,
