Group,year,number_revenue,percentage_revenue,number_exports,percentage_exports
Latin America & Caribbean (LAC),2011,3.00,14.29,1.00,4.76
Latin America & Caribbean (LAC),2012,3.00,14.29,1.00,4.76
Latin America & Caribbean (LAC),2013,3.00,14.29,0.00,0.00
Latin America & Caribbean (LAC),2014,1.00,4.76,0.00,0.00
Latin America & Caribbean (LAC),2015,2.00,9.52,2.00,9.52
Latin America & Caribbean (LAC),2016,1.00,4.76,2.00,9.52
Latin America & Caribbean (LAC),2017,1.00,4.76,3.00,14.29
Latin America & Caribbean (LAC),2018,1.00,4.76,2.00,9.52
Latin America & Caribbean (LAC),2019,2.00,9.52,4.00,19.05
Latin America & Caribbean (LAC),2020,3.00,14.29,4.00,19.05
Latin America & Caribbean (LAC),2021,2.00,9.52,4.00,19.05
Latin America & Caribbean (LAC),2022,2.00,9.52,0.00,0.00
Latin America & Caribbean (LAC),2023,2.00,9.52,..,..
Latin America & Caribbean (LAC),2024,0.00,0.00,..,..
Sub-Saharan Africa (SSA),2000,8.00,19.51,4.00,11.76
Sub-Saharan Africa (SSA),2001,5.00,12.20,4.00,11.76
Sub-Saharan Africa (SSA),2002,6.00,14.29,2.00,5.88
Sub-Saharan Africa (SSA),2003,4.00,9.52,3.00,8.33
Sub-Saharan Africa (SSA),2004,4.00,9.52,2.00,5.41
Sub-Saharan Africa (SSA),2005,4.00,9.30,2.00,5.13
Sub-Saharan Africa (SSA),2006,3.00,6.98,1.00,2.56
Sub-Saharan Africa (SSA),2007,7.00,16.28,3.00,7.50
Sub-Saharan Africa (SSA),2008,4.00,9.30,1.00,2.50
Sub-Saharan Africa (SSA),2009,0.00,0.00,0.00,0.00
Sub-Saharan Africa (SSA),2010,0.00,0.00,0.00,0.00
Sub-Saharan Africa (SSA),2011,0.00,0.00,0.00,0.00
Sub-Saharan Africa (SSA),2012,0.00,0.00,1.00,2.44
Sub-Saharan Africa (SSA),2013,1.00,2.27,0.00,0.00
Sub-Saharan Africa (SSA),2014,2.00,4.55,0.00,0.00
Sub-Saharan Africa (SSA),2015,1.00,2.27,0.00,0.00
Sub-Saharan Africa (SSA),2016,2.00,4.55,1.00,2.38
Sub-Saharan Africa (SSA),2017,5.00,11.36,2.00,4.88
Sub-Saharan Africa (SSA),2018,4.00,9.09,2.00,4.88
Sub-Saharan Africa (SSA),2019,8.00,18.18,3.00,7.32
Sub-Saharan Africa (SSA),2020,6.00,13.95,5.00,11.63
Sub-Saharan Africa (SSA),2021,7.00,16.28,5.00,11.63
Sub-Saharan Africa (SSA),2022,4.00,9.30,2.00,4.76
Sub-Saharan Africa (SSA),2023,14.00,32.56,..,..
Sub-Saharan Africa (SSA),2024,16.00,37.21,..,..
