group,year,netInterest,netInterestMin,netInterestMax,
Latin America & Caribbean (LAC),2013,8.36,2.12,13.47,
Latin America & Caribbean (LAC),2014,5.85,2.29,13.53,
Latin America & Caribbean (LAC),2015,7.03,3.74,13.77,
Latin America & Caribbean (LAC),2016,6.94,3.14,13.76,
Latin America & Caribbean (LAC),2017,7.49,3.59,13.46,
Latin America & Caribbean (LAC),2018,9.56,4.39,14.15,
Latin America & Caribbean (LAC),2019,9.73,5.38,14.37,
Latin America & Caribbean (LAC),2020,7.88,6.11,17.65,
Latin America & Caribbean (LAC),2021,7.68,5.39,16.72,
Latin America & Caribbean (LAC),2022,7.73,5.41,13.82,
Latin America & Caribbean (LAC),2023,9.40,6.76,15.24,
Latin America & Caribbean (LAC),2024,11.43,6.51,16.01,
Latin America & Caribbean (LAC),2025,11.90,7.33,15.95,
Sub-Saharan Africa (SSA),2000,11.11,5.55,16.30,
Sub-Saharan Africa (SSA),2001,10.04,4.64,16.33,
Sub-Saharan Africa (SSA),2002,9.61,5.57,15.32,
Sub-Saharan Africa (SSA),2003,8.34,5.17,15.14,
Sub-Saharan Africa (SSA),2004,7.57,4.27,13.29,
Sub-Saharan Africa (SSA),2005,7.59,3.67,11.58,
Sub-Saharan Africa (SSA),2006,4.80,3.13,9.69,
Sub-Saharan Africa (SSA),2007,5.39,2.44,8.54,
Sub-Saharan Africa (SSA),2008,3.94,2.01,8.14,
Sub-Saharan Africa (SSA),2009,4.53,2.31,8.21,
Sub-Saharan Africa (SSA),2010,4.25,1.93,6.51,
Sub-Saharan Africa (SSA),2011,4.13,1.91,7.15,
Sub-Saharan Africa (SSA),2012,3.55,1.86,6.92,
Sub-Saharan Africa (SSA),2013,3.53,2.18,7.55,
Sub-Saharan Africa (SSA),2014,3.61,2.37,8.41,
Sub-Saharan Africa (SSA),2015,4.74,2.70,10.01,
Sub-Saharan Africa (SSA),2016,6.75,3.58,11.02,
Sub-Saharan Africa (SSA),2017,5.96,3.27,10.93,
Sub-Saharan Africa (SSA),2018,6.76,4.14,12.25,
Sub-Saharan Africa (SSA),2019,7.10,3.90,11.79,
Sub-Saharan Africa (SSA),2020,8.39,4.41,13.78,
Sub-Saharan Africa (SSA),2021,8.53,3.74,13.59,
Sub-Saharan Africa (SSA),2022,8.96,4.10,13.65,
Sub-Saharan Africa (SSA),2023,10.50,4.33,14.48,
Sub-Saharan Africa (SSA),2024,10.61,6.19,15.52,
Sub-Saharan Africa (SSA),2025,10.89,6.62,15.88,
